koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_disposition
0.0,0,1,1,0,111.0396205,0.000374,-0.000374,161.93506,0.0027,-0.0027,0.851,0.004,-0.005,25.751,0.177,-0.177,9360.0,56.7,-56.7,8.6,1.37,-1.11,335.0,2.97,1.51,-0.98,201.9,1.0,5470.0,163.0,-163.0,4.509,0.115,-0.115,0.777,0.123,-0.101,299.84598,40.84531,14.587,0
0.95,0,0,0,0,6.03355539,6.5e-05,-6.5e-05,137.121,0.00739,-0.00739,0.35,0.1,-0.35,10.049,0.243,-0.243,89.5,3.8,-3.8,3.34,0.71,-0.57,1598.0,1540.84,853.28,-539.21,26.1,1.0,4924.0,74.0,-66.0,3.356,0.14,-0.126,3.588,0.753,-0.616,286.71564,48.645279,13.274,1
0.989,0,0,0,0,2.832647249,8.33e-06,-8.33e-06,131.82642,0.00234,-0.00234,0.374,0.067,-0.374,2.306,0.0689,-0.0689,115.0,4.7,-4.7,1.37,0.23,-0.22,1453.0,1054.98,476.22,-372.7,27.5,1.0,5865.0,105.0,-117.0,4.266,0.132,-0.12,1.272,0.207,-0.207,288.14478,51.27562,13.467,1
0.993,0,0,0,0,148.4601819,0.00078,-0.00078,151.38686,0.00345,-0.00345,0.808,0.113,-0.575,5.499,0.139,-0.139,1530.0,47.5,-47.5,3.61,0.24,-0.17,285.0,1.56,0.33,-0.23,33.7,1.0,5159.0,82.0,-82.0,4.548,0.032,-0.063,0.821,0.055,-0.039,298.97217,44.132381,14.839,1
1.0,0,0,0,0,16.7525077,9.82e-05,-9.82e-05,131.59834,0.00495,-0.00495,0.763,0.157,-0.513,3.174,0.149,-0.149,338.0,21.8,-21.8,3.65,2.08,-2.29,801.0,97.43,169.91,-85.31,18.2,1.0,4807.0,129.0,-129.0,3.906,0.7,-0.3,1.802,1.029,-1.131,288.59711,41.03643,14.534,1
1.0,0,0,0,0,7.54235832,3.79e-05,-3.79e-05,132.96117,0.00413,-0.00413,0.318,0.115,-0.318,4.73,0.113,-0.113,133.0,5.4,-5.4,1.59,0.27,-0.29,1054.0,292.19,134.49,-113.23,25.8,2.0,5711.0,101.0,-113.0,4.221,0.149,-0.122,1.391,0.232,-0.258,283.19208,41.305389,13.353,1
1.0,0,0,0,0,17.79001678,3.2e-05,-3.2e-05,182.43745,0.00143,-0.00143,0.182,0.214,-0.182,4.4116,0.0481,-0.0481,871.0,13.7,-13.7,2.7,0.36,-0.19,655.0,43.5,16.78,-8.87,67.2,1.0,5569.0,111.0,-111.0,4.474,0.059,-0.11,0.927,0.122,-0.066,290.67313,38.69101,13.597,1
0.997,0,0,0,0,23.1274171,0.000157,-0.000157,145.66194,0.00521,-0.00521,0.737,0.217,-0.506,4.901,0.149,-0.149,157.0,8.6,-8.6,1.44,0.23,-0.13,667.0,46.89,20.35,-11.15,20.9,1.0,5865.0,105.0,-117.0,4.393,0.08,-0.12,1.066,0.166,-0.097,281.56146,42.4505,11.863,1
0.0,0,1,0,0,24.9559985,3.8e-06,-3.8e-06,149.094437,0.000126,-0.000126,0.996,0.062,-0.012,2.76331,0.00816,-0.00816,4860.0,11.4,-11.4,36.91,5.21,-15.6,1438.0,1011.42,515.91,-778.54,555.6,1.0,8617.0,325.0,-758.0,3.78,0.408,-0.072,3.018,0.426,-1.277,290.02435,39.563389,11.458,0
0.0,0,0,0,0,13.61014819,5.97e-06,-5.97e-06,173.987319,0.000346,-0.000346,1.081,0.347,-0.119,2.594,0.0194,-0.0194,5730.0,38.1,-38.1,19.02,4.92,-2.28,733.0,68.29,52.16,-20.86,184.1,1.0,5697.0,154.0,-154.0,4.46,0.098,-0.182,0.903,0.234,-0.108,289.89777,42.009151,15.06,2
